Date,Close,MA_7,MA_30,shortwave_radiation_sum,temperature_2m_mean,sunshine_duration,precipitation_sum,precipitation_hours
2025-03-18,458.75,451.2142857142857,464.625,18.73,12.787083,39580.062,0.0,0.0
2025-03-19,462.0,453.10714285714283,463.48333333333335,3.96,6.3099995,3484.787,18.4,15.0
2025-03-20,469.0,455.32142857142856,462.3833333333333,20.21,1.2870834,36412.73,0.3,3.0
2025-03-21,464.25,458.0,461.275,13.09,7.0933337,27674.105,3.4,3.0
2025-03-22,464.25,460.67857142857144,460.15,18.97,3.4808338,37238.223,0.0,0.0
2025-03-23,464.25,463.35714285714283,459.25,11.98,9.305834,23011.742,3.4,7.0
2025-03-24,464.5,463.85714285714283,458.35833333333335,16.13,4.835,32010.578,0.0,0.0
2025-03-25,457.75,463.7142857142857,457.2416666666667,18.95,7.5870833,33586.04,0.0,0.0
2025-03-26,451.25,462.17857142857144,456.2,20.19,7.255833,37772.684,0.1,1.0
2025-03-27,450.0,459.4642857142857,455.2083333333333,20.64,11.6225,40241.89,0.6,2.0
2025-03-28,453.25,457.89285714285717,454.375,20.55,17.559998,41371.684,0.0,0.0
2025-03-29,,,,8.05,16.755833,6519.551,0.90000004,3.0
2025-03-30,,,,4.48,8.512083,1473.4265,8.299999,9.0
