Date,Close,MA_7,MA_30,MA_90,shortwave_radiation_sum,temperature_2m_mean,sunshine_duration,precipitation_sum,precipitation_hours
2000-09-28,190.5,188.0,184.05,180.885593220339,18.58,16.007084,39465.383,0.0,0.0
2000-09-29,192.0,188.82142857142858,184.4,181.07083333333333,18.1,18.719582,39226.074,0.0,0.0
2000-09-30,192.0,189.64285714285714,184.73333333333332,181.25,16.56,20.83,35964.94,0.2,1.0
2000-10-01,192.0,190.46428571428572,185.025,181.4233870967742,13.5,21.415415,29804.068,0.0,0.0
2000-10-02,192.0,191.28571428571428,185.31666666666666,181.59126984126985,17.24,19.859167,37725.32,0.2,1.0
2000-10-03,195.25,192.03571428571428,185.71666666666667,181.8046875,13.03,15.825833,34538.5,2.4,5.0
2000-10-04,199.5,193.32142857142858,186.25833333333333,182.07692307692307,15.96,12.142501,29591.672,11.4,6.0
2000-10-05,200.5,194.75,186.825,182.3560606060606,3.52,11.036248,3600.0,6.2000003,11.0
2000-10-06,199.5,195.82142857142858,187.26666666666668,182.61194029850745,15.09,4.47375,36490.6,0.0,0.0
2000-10-07,199.5,196.89285714285714,187.88333333333333,182.86029411764707,13.31,2.0029166,30979.662,0.0,0.0
2000-10-08,199.5,197.96428571428572,188.475,183.1014492753623,17.52,2.227917,36309.336,0.0,0.0
2000-10-09,199.5,199.03571428571428,189.06666666666666,183.3357142857143,17.2,3.9924996,36907.227,0.0,0.0
2000-10-10,197.5,199.35714285714286,189.59166666666667,183.53521126760563,17.06,7.463333,36641.203,0.0,0.0
2000-10-11,199.75,199.39285714285714,190.10833333333332,183.76041666666666,16.35,10.213334,36531.543,0.0,0.0
2000-10-12,200.5,199.39285714285714,190.59166666666667,183.98972602739727,14.25,15.348748,35246.613,0.0,0.0
2000-10-13,204.0,200.03571428571428,191.30833333333334,184.26013513513513,13.63,19.500832,32400.0,0.0,0.0
2000-10-14,204.0,200.67857142857142,192.075,184.52333333333334,15.55,18.917501,36000.0,4.8,5.0
2000-10-15,204.0,201.32142857142858,192.84166666666667,184.7796052631579,15.13,13.202915,36000.0,0.6,2.0
2000-10-16,204.0,201.96428571428572,193.60833333333332,185.0292207792208,12.66,11.075832,29117.918,0.0,0.0
2000-10-17,203.25,202.78571428571428,194.35,185.26282051282053,10.26,12.282083,31794.27,0.2,1.0
2000-10-18,202.0,203.10714285714286,194.95,185.4746835443038,14.63,14.33625,36000.0,0.0,0.0
2000-10-19,203.0,203.46428571428572,195.55,185.69375,14.33,17.382084,35904.52,0.0,0.0
2000-10-20,203.0,203.32142857142858,196.2,185.90740740740742,12.8,18.577917,35737.164,0.0,0.0
2000-10-21,203.0,203.17857142857142,196.84166666666667,186.1158536585366,11.64,16.53,35570.066,0.0,0.0
2000-10-22,203.0,203.03571428571428,197.4,186.31927710843374,2.07,16.167498,0.0,5.8,9.0
